cid,text,time,author,channel,votes,photo,heart
Ugwld483Wo9iGm9aXit4AaABAg,This song makes me dream of a person in a abandoned city walking to a destination and it’s past 6pm and it’s about to rain,8 months ago,ZERO,UClCZN66L2cz7PZDpKgnq4VQ,164,https://yt3.ggpht.com/ytc/AKedOLRLVQ0cL5ThRIyQjHklxEAHznZZYFdeTXoPRvjw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxWyH7BWbonHvFk714AaABAg,"W da f*** r comments turned off 4 ""waking up"" ?!!!!!!!!!!! Turn it on very very please, friends.",8 months ago,swampfIower,UC_8_OmsY5d425K2z4mY53dw,0,https://yt3.ggpht.com/ytc/AKedOLSjECcN4jjNU0whGm5PFP1TNRIgMUlcmO3j7PIVgA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoFhbgCM9vxm3AwnJ4AaABAg,My fav childhood singer,8 months ago,Solo,UCTd4ZnibpzIVUBRux1sp4Kg,0,https://yt3.ggpht.com/ytc/AKedOLQUbgMkzow4y5Dc4X_AmzV1bENZ3GINwaUD8w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyE89-_m6LB3WhhoKt4AaABAg,Has me trippin lol,8 months ago,Keaton Mike,UCIoG2Rs9fPeJwexpVacqAoQ,0,https://yt3.ggpht.com/ytc/AKedOLRE_pGjsweuzmM1I7XTfcakzhyqVg58WoilqnlS=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRmFbJCwMjnbkgCz94AaABAg,These sounds are deep! Pure delight,8 months ago,Master GF,UCEYPVwpu9H_rc6gKMYB4fZw,0,https://yt3.ggpht.com/ytc/AKedOLTtXfRm0kpbLnBdPcr4e-Bd24RfLrUkpJBdg3UAyRo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3Mf7l7xew9yUSFtx4AaABAg,"turn da comments on 4 ""Waking up""  ""m*****"", please :),  jeeez !!!!!!!!",8 months ago,swampfIower,UC_8_OmsY5d425K2z4mY53dw,0,https://yt3.ggpht.com/ytc/AKedOLSjECcN4jjNU0whGm5PFP1TNRIgMUlcmO3j7PIVgA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQg4KHJ4dxp3hwkoB4AaABAg,The introduction music to Scarface if it was filmed in France°  [Love it] °,8 months ago (edited),Common Sense Made Simple,UC11G7rbLqN6dtSHcpKNnIoQ,0,https://yt3.ggpht.com/ytc/AKedOLTdv6bkRYo5yMIDvOE0wPfZLMAlQ8YE1A3V2m_1Bg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDdC921vTUgA-rhQJ4AaABAg,what a beautiful production..!,8 months ago,shankar sharma,UCsNT9xGp4ejLBc6DKYJOrkg,0,https://yt3.ggpht.com/ytc/AKedOLSou4Ue-DN48oSvqBspD_GpU1Uv-vC8vFQNaT4uFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwByj3Zx2Ubv-XlM0l4AaABAg,You are such a special people and talented keep going and smile you deserve the happiness love you ❤️,8 months ago,V,UCXyMCurQjU5YSnqlzEYa9hg,0,https://yt3.ggpht.com/hgqV8qulzSEQDC9-l9Tlksy7kms8SmixPTGC9dQM2ku4kEC8Z3ZHTDG5lSIdAbZFaLL2JE3HjQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhKfzX3voamKdQqox4AaABAg,Aah Solitude and E minor,8 months ago,•Morgana's Account•,UC-yPGo1yjyjAf6JgoA9zGog,0,https://yt3.ggpht.com/AmAgsTgYr27DYKV-LpbnLKZACu4T5wd9cRJ6NqRum4k9ytY_emtUJPSnKXsSam7It35jYsyPZw=s176-c-k-c0x00ffffff-no-rj,0.0
